set	activity	metric	direction	mean	std
train	WALKING_DOWNSTAIRS	tBodyGyroJerk	X	-0.0742508688621095	-0.374000213890974
train	WALKING_DOWNSTAIRS	tBodyGyroJerk	Y	-0.0519342665009533	-0.444762616614097
train	WALKING_DOWNSTAIRS	tBodyGyroJerk	Z	-0.052917414205284	-0.318832476117718
train	WALKING_DOWNSTAIRS	tBodyGyroJerkMag		-0.397171015459939	-0.430866415856653
train	WALKING_DOWNSTAIRS	tBodyGyroMag		-0.104601976301298	-0.227265452316329
train	WALKING_DOWNSTAIRS	tGravityAcc	X	0.924336230375254	-0.948808651206897
train	WALKING_DOWNSTAIRS	tGravityAcc	Y	-0.167095144852028	-0.934591624918864
train	WALKING_DOWNSTAIRS	tGravityAcc	Z	-0.0521996569589989	-0.909636090415821
train	WALKING_DOWNSTAIRS	tGravityAccMag		0.137366108163682	0.144636835872059
train	WALKING_UPSTAIRS	fBodyAcc	X	-0.285477495368322	-0.198615524473914
train	WALKING_UPSTAIRS	fBodyAcc	Y	-0.12240638059096	-0.00557541172054054
train	WALKING_UPSTAIRS	fBodyAcc	Z	-0.352435071945573	-0.105928929517437
train	WALKING_UPSTAIRS	fBodyAccJerk	X	-0.384993618073159	-0.384103045858528
train	WALKING_UPSTAIRS	fBodyAccJerk	Y	-0.35481868269617	-0.346762525466654
train	WALKING_UPSTAIRS	fBodyAccJerk	Z	-0.586735444993476	-0.656696754193849
train	WALKING_UPSTAIRS	fBodyAccMag		-0.248835990713271	-0.349171321564772
train	WALKING_UPSTAIRS	fBodyBodyAccJerkMag		-0.353468006783504	-0.439910272754185
train	WALKING_UPSTAIRS	fBodyBodyGyroJerkMag		-0.655382609368593	-0.701593753741845
train	WALKING_UPSTAIRS	fBodyBodyGyroMag		-0.429560837457409	-0.346609728583225
train	WALKING_UPSTAIRS	fBodyGyro	X	-0.387804415129357	-0.489514621167474
train	WALKING_UPSTAIRS	fBodyGyro	Y	-0.445290581715704	-0.266935034348369
train	WALKING_UPSTAIRS	fBodyGyro	Z	-0.297544907199814	-0.293684227338677
train	WALKING_UPSTAIRS	tBodyAcc	X	0.261929527252004	-0.221072445907903
train	WALKING_UPSTAIRS	tBodyAcc	Y	-0.0266470525735974	-0.000348031582171482
train	WALKING_UPSTAIRS	tBodyAcc	Z	-0.120423564420037	-0.140363752818472
train	WALKING_UPSTAIRS	tBodyAccJerk	X	0.0781685444347158	-0.355849488668406
train	WALKING_UPSTAIRS	tBodyAccJerk	Y	0.0104508404666636	-0.328541506919935
train	WALKING_UPSTAIRS	tBodyAccJerk	Z	-0.0055333909217521	-0.622193012661696
train	WALKING_UPSTAIRS	tBodyAccJerkMag		-0.38127785952479	-0.38735343572274
train	WALKING_UPSTAIRS	tBodyAccMag		-0.0754501490696831	-0.235551736910382
train	WALKING_UPSTAIRS	tBodyGyro	X	0.0209240364789655	-0.461445663370363
train	WALKING_UPSTAIRS	tBodyGyro	Y	-0.0969463358755993	-0.321570850665424
train	WALKING_UPSTAIRS	tBodyGyro	Z	0.0491202105442125	-0.238455522894334
train	WALKING_UPSTAIRS	tBodyGyroJerk	X	-0.115634379434529	-0.542672583806617
train	WALKING_UPSTAIRS	tBodyGyroJerk	Y	-0.0393221127075303	-0.661038928760485
train	WALKING_UPSTAIRS	tBodyGyroJerk	Z	-0.0519831673859832	-0.56399488868932
train	WALKING_UPSTAIRS	tBodyGyroJerkMag		-0.601125454923672	-0.664181538692451
train	WALKING_UPSTAIRS	tBodyGyroMag		-0.165519411338164	-0.303978179337558
train	WALKING_UPSTAIRS	tGravityAcc	X	0.872378174930103	-0.946344178769804
train	WALKING_UPSTAIRS	tGravityAcc	Y	-0.28691577583411	-0.925389766076421
train	WALKING_UPSTAIRS	tGravityAcc	Z	-0.148313217708166	-0.899679890894688
train	WALKING_UPSTAIRS	tGravityAccMag		-0.0754501490696831	-0.235551736910382
